"TRADE_CODE","INN","FIELD","BIGFIELD"
"ABIO",7702508905,"наука","Потребсектор"
"ABRD",7727620673,"Консультирование по вопросам коммерческой деятельности и управления",
"ACKO",7453297458,"Страховая компания",
"AFKS",7703104630,"Вложения в ценные бумаги",
"AFLT",7712040126,"Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию","транспорт"
"AGRO",,"торговля","Потребсектор"
"AKGD",7728142469,"Деятельность по управлению ценными бумагами",
"AKMB",7728142469,"Деятельность по управлению ценными бумагами",
"AKME",7728142469,"Деятельность по управлению ценными бумагами",
"AKMM",7728142469,"Деятельность по управлению ценными бумагами",
"AKQU",7728142469,"Деятельность по управлению ценными бумагами",
"AKRN",5321029508,"химическая промышленность","Химпром"
"ALRS",1433000147,"Добыча алмазов","Металлы и добыча"
"AMEZ",7401000473,"Производство листового горячекатаного стального проката",
"AMRB",7701253764,"Деятельность по управлению ценными бумагами",
"AMRE",7701253764,"Деятельность по управлению ценными бумагами",
"AMRH",7701253764,"Деятельность по управлению ценными бумагами",
"APTK",7722266450,"торговля","Потребсектор"
"AQUA",7816430057,"Деятельность по оказанию услуг в области бухгалтерского учета, по проведению финансового аудита, по налоговому консультированию","Потребсектор"
"ARSA",7840303927,"Деятельность по управлению ценными бумагами",
"ASSB",3017041554,"энергетика",
"ASTR",7726476459,"Деятельность по управлению холдинг-компаниями",
"AVAN",7702021163,"кредитная организация",
"BANE",274051582,"Добыча сырой нефти",
"BANEP",274051582,"Добыча сырой нефти","Нефтегаз"
"BCSB",5407191291,"Деятельность по управлению ценными бумагами",
"BELU",7705634425,"Консультирование по вопросам коммерческой деятельности и управления","Потребсектор"
"BISVP",274018377,"телекоммуникации",
"BLNG",5410102823,"торговля",
"BOND",7826685368,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",
"BRZL",323027345,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой гр",
"BSPB",7831000027,"кредитная организация","Финансы"
"BSPBP",7831000027,"кредитная организация",
"CARM",9704168849,"Деятельность холдинговых компаний",
"CBOM",7734202860,"кредитная организация","Финансы"
"CHGZ",8620003528,"нефтегазовая промышленность",
"CHKZ",7449006184,"металлургия",
"CHMF",3528000597,"Производство чугуна, стали и ферросплавов","Металлы и добыча"
"CHMK",7450001007,"металлургия",
"CIAN",,"Деятельность холдинговых компаний","ИТ"
"CNTL",7710146208,"телекоммуникации",
"CNTLP",7710146208,"телекоммуникации",
"DIOD",7725024805,"Производство биологически активных добавок к пище",
"DIVD",7826685368,"Предоставление прочих финансовых услуг",
"DSKY",7729355029,"Торговля розничная непродовольственными товарами, не включенными в другие группировки, в специализированных магазинах",
"DVEC",2723088770,"Торговля электроэнергией","Электроэнергетика"
"DZRD",7114001610,"приборостроение",
"DZRDP",7114001610,"приборостроение",
"EELT",7716814300,"Оптовая торговля прочими непродовольственными потребительскими товарами",
"ELFV",6671156423,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций","Электроэнергетика"
"ELTZ",1500000113,"металлургия",
"ENPG",3906382033,"Деятельность холдинговых компаний","Металлы и добыча"
"EQMX",7701140866,"Деятельность по управлению фондами",
"ESGE",7701140866,"Деятельность по управлению фондами",
"ESGR",7704814182,"Деятельность по управлению фондами",
"ETLN",,"Строительство жилых и нежилых зданий","Строительные"
"EUTR",5029169023,"Торговля розничная моторным топливом в специализированных магазинах",
"FEES",4716016979,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"FESH",2540047110,"транспорт","транспорт"
"FIVE",,"торговля","Потребсектор"
"FIXP",,"торговля","Потребсектор"
"FLOT",7702060116,"торговля","транспорт"
"GAZA",5200000046,"машиностроение и металлообработка",
"GAZAP",5200000046,"машиностроение и металлообработка",
"GAZC",7726510759,"Прочее финансовое посредничество",
"GAZP",7736050003,"нефтегазовая промышленность","Нефтегаз"
"GAZS",7726510741,"Деятельность по предоставлению прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению",
"GAZT",7705821841,"Вложения в ценные бумаги",
"GCHE",7718560636,"Консультирование по вопросам коммерческой деятельности и управления",
"GECO",9731078633,"Научные исследования и разработки в области естественных и технических наук прочие",
"GEMA",7736317497,"Деятельность в области медицины прочая, не включенная в другие группировки",
"GEMC",,"торговля","Потребсектор"
"GLTR",,"транспорт","транспорт"
"GLVD",7826685368,"Предоставление прочих финансовых услуг",
"GMKN",8401005730,"Производство прочих цветных металлов","Металлы и добыча"
"GOLD",7701140866,"Деятельность по управлению фондами",
"GPBC",7722515837,"Деятельность по управлению фондами",
"GPBM",7722515837,"Деятельность по управлению фондами",
"GPBR",7722515837,"Деятельность по управлению фондами",
"GPBS",7722515837,"Деятельность по управлению фондами",
"GPBW",7722515837,"Деятельность по управлению фондами",
"GQGD",7826685368,"Предоставление прочих финансовых услуг",
"GROD",7826685368,"Предоставление прочих финансовых услуг",
"GSCD",7826685368,"Предоставление прочих финансовых услуг",
"GTRK",9701082537,"Консультирование по вопросам коммерческой деятельности и управления",
"HHRU",,"Деятельность холдинговых компаний","ИТ"
"HIMCP",2124009521,"химическая промышленность",
"HYDR",2460066195,"Производство электроэнергии гидроэлектростанциями, в том числе деятельность по обеспечению работоспособности электростанций","Электроэнергетика"
"IGST",1826000655,"металлургия",
"IGSTP",1826000655,"металлургия",
"INEM",7705136973,"Деятельность по управлению фондами",
"INFL",7705136973,"Деятельность по управлению фондами",
"INGO",7705136973,"Деятельность по управлению фондами",
"INGR",7702336269,"инвестиции",
"INRU",7705136973,"Деятельность по управлению фондами",
"IRAO",2320109650,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций","Электроэнергетика"
"IRKT",3807002509,"Производство вертолетов, самолетов и прочих летательных аппаратов",
"JNOS",7601001107,"нефтегазопереработка",
"JNOSP",7601001107,"нефтегазопереработка",
"KAZT",6320005915,"химическая промышленность","Химпром"
"KAZTP",6320005915,"химическая промышленность",
"KBSB",2308119595,"Деятельность агентов по оптовой торговле электроэнергией и тепловой энергией (без",
"KCHE",4100000668,"энергетика",
"KCHEP",4100000668,"энергетика",
"KGKC",4501122913,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",
"KGKCP",4501122913,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",
"KLSB",4029030252,"энергетика",
"KMAZ",1650032058,"Производство грузовых автомобилей",
"KMEZ",3305004397,"машиностроение и металлообработка",
"KOGK",3834002314,"горнодобывающая промышленность",
"KRKN",6451114900,"нефтегазопереработка",
"KRKNP",6451114900,"нефтегазопереработка",
"KRKOP",6154023009,"машиностроение и металлообработка",
"KROT",7706043263,"пищевая промышленность",
"KROTP",7706043263,"пищевая промышленность",
"KRSB",2466132221,"энергетика",
"KRSBP",2466132221,"энергетика",
"KTSB",4401050567,"Торговля электроэнергией",
"KTSBP",4401050567,"Торговля электроэнергией",
"KUBE",2309001660,"Передача электроэнергии и технологическое присоединение к распределительным электросетям",
"KUZB",5836900162,"кредитная организация",
"KZOS",1658008723,"химическая промышленность","Химпром"
"KZOSP",1658008723,"химическая промышленность","Химпром"
"LENT",3906399157,"Деятельность холдинговых компаний","Потребсектор"
"LIFE",7801075160,"Производство лекарственных препаратов",
"LKOH",7708004767,"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы","Нефтегаз"
"LNZL",3802000096,"горнодобывающая промышленность",
"LNZLP",3802000096,"горнодобывающая промышленность",
"LPSB",4822001244,"энергетика",
"LQDT",7701140866,"Деятельность по управлению фондами",
"LSNG",7803002209,"Передача электроэнергии и технологическое присоединение к распределительным электросетям",
"LSNGP",7803002209,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"LSRG",7838360491,"Капиталовложения в ценные бумаги","Строительные"
"LVHK",7839462305,"Оптовая торговля фототоварами и оптическими товарами",
"MAGE",4909047148,"Производство электроэнергии тепловыми электростанциями",
"MAGEP",4909047148,"Производство электроэнергии тепловыми электростанциями",
"MAGN",7414003633,"Производство чугуна, стали и ферросплавов","Металлы и добыча"
"MDMG",,"торговля","Потребсектор"
"MFGS",8605003932,"нефтегазовая промышленность",
"MFGSP",8605003932,"нефтегазовая промышленность",
"MGNT",2309085638,"Аренда и управление собственным или арендованным нежилым недвижимым имуществом","Потребсектор"
"MGNZ",5919470019,"металлургия",
"MGTS",7710016640,"Деятельность в области электросвязи",
"MGTSP",7710016640,"Деятельность в области электросвязи","Телекоммуникации"
"MISB",1215099739,"энергетика",
"MISBP",1215099739,"энергетика",
"MKBD",7710186602,"Деятельность по управлению ценными бумагами",
"MOEX",7702077840,"Управление финансовыми рынками","Финансы"
"MRKC",6901067107,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"MRKK",2632082033,"прочие отрасли",
"MRKP",5260200603,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"MRKS",2460069527,"Передача электроэнергии и технологическое присоединение к распределительным электросетям",
"MRKU",6671163413,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"MRKV",6450925977,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"MRKY",6164266561,"энергетика",
"MRKZ",7802312751,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"MRSB",1326192645,"Торговля электроэнергией",
"MSNG",7705035012,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций","Электроэнергетика"
"MSRS",5036065113,"Передача электроэнергии и технологическое присоединение к распределительным электросетям","Электроэнергетика"
"MSTT",7701045732,"Строительство автомобильных дорог и автомагистралей",
"MTEK",6454074653,"Деятельность инвестиционных фондов и аналогичных финансовых организаций",
"MTLR",7703370008,"Вложения в ценные бумаги","Металлы и добыча"
"MTLRP",7703370008,"Вложения в ценные бумаги","Металлы и добыча"
"MTSS",7740000076,"Деятельность в области связи на базе беспроводных технологий","Телекоммуникации"
"MVID",7707602010,"прочие отрасли","Потребсектор"
"NAUK",7714005350,"Научные исследования и разработки в области естественных и технических наук",
"NFAZ",264004103,"машиностроение и металлообработка",
"NKHP",2315014748,"пищевая промышленность","транспорт"
"NKNC",1651000010,"химическая промышленность","Химпром"
"NKNCP",1651000010,"химическая промышленность","Химпром"
"NKSH",1651000027,"химическая промышленность",
"NLMK",4823006703,"Производство листового холоднокатаного стального проката","Металлы и добыча"
"NMTP",2315004404,"Деятельность по складированию и хранению","транспорт"
"NNSB",5260148520,"энергетика",
"NNSBP",5260148520,"энергетика",
"NSVZ",7714716995,"Деятельность в области телефонной связи",
"NVTK",6316031581,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами","Нефтегаз"
"OBLG",7701140866,"Деятельность по управлению фондами",
"OGKB",2607018122,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций","Электроэнергетика"
"OKEY",,"торговля","Потребсектор"
"OMZZP",6663059899,"машиностроение и металлообработка",
"OPNA",7702203678,"Деятельность по управлению фондами",
"OPNB",7705394773,"Управление финансовыми рынками",
"OPNE",7702203678,"Деятельность по управлению фондами",
"OPNR",7705394773,"Управление финансовыми рынками",
"OPNS",7702203678,"Деятельность по управлению фондами",
"OPNU",7702203678,"Деятельность по управлению фондами",
"OPNW",7702203678,"Деятельность по управлению фондами",
"OZON",,"Деятельность холдинговых компаний","ИТ"
"PAZA",5252000350,"машиностроение и металлообработка",
"PHOR",7736216869,"Деятельность холдинговых компаний","Химпром"
"PIKK",7713011336,"Строительство жилых и нежилых зданий","Строительные"
"PLZL",7703389295,"Консультирование по вопросам коммерческой деятельности и управления","Металлы и добыча"
"PMSB",5904123809,"энергетика",
"PMSBP",5904123809,"энергетика",
"POLY",,"Производство прочих цветных металлов","Металлы и добыча"
"POSI",9718077239,"Деятельность холдинговых компаний","ИТ"
"PRFN",7447014976,"Производство строительных металлических конструкций, изделий и их частей",
"PRIE",7704814182,"Деятельность по управлению фондами",
"PRMB",2536020789,"кредитная организация",
"QIWI",,,"Финансы"
"RASP",4214002316,"горнодобывающая промышленность","Металлы и добыча"
"RBCM",7728547955,"телекоммуникации",
"RCGL",7702358512,"Управление финансовыми рынками",
"RCHY",7702358512,"Управление финансовыми рынками",
"RCMB",7702358512,"Управление финансовыми рынками",
"RCMX",7702358512,"Управление финансовыми рынками",
"RCUS",7702358512,"Управление финансовыми рынками",
"RDRB",7718011918,"кредитная организация",
"RENI",7725497022,"Страховая компания","Финансы"
"RGSS",7707067683,"Страховая компания",
"RKKE",5018033937,"наука",
"RNFT",7717133960,"нефтегазопереработка","Нефтегаз"
"ROLO",7706774915,"Добыча и обогащение оловянной руды",
"ROSB",7730060164,"кредитная организация",
"ROSN",7706107510,"Добыча сырой нефти","Нефтегаз"
"ROST",7722514880,"торговля",
"RQIE",7702358512,"Управление финансовыми рынками",
"RQIU",7702358512,"Управление финансовыми рынками",
"RSHA",7704814182,"Деятельность по управлению фондами",
"RSHE",7704814182,"Деятельность по управлению фондами",
"RSHH",7704814182,"Деятельность по управлению фондами",
"RSHI",7704814182,"Деятельность по управлению фондами",
"RSHL",7704814182,"Деятельность по управлению фондами",
"RSHU",7704814182,"Деятельность по управлению фондами",
"RSHY",7704814182,"Деятельность по управлению фондами",
"RTGZ",6163000368,"жилищно-коммунальное хозяйство",
"RTKM",7707049388,"Деятельность в области связи на базе проводных технологий","Телекоммуникации"
"RTKMP",7707049388,"Деятельность в области связи на базе проводных технологий","Телекоммуникации"
"RTSB",6168002922,"энергетика",
"RTSBP",6168002922,"энергетика",
"RUAL",3906394938,"Деятельность холдинговых компаний","Металлы и добыча"
"RUSI",7704081545,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",
"RZSB",6229049014,"Торговля электроэнергией",
"SAGO",6315222985,"энергетика",
"SAGOP",6315222985,"энергетика",
"SARE",6450014808,"Торговля электроэнергией",
"SAREP",6450014808,"Торговля электроэнергией",
"SBBE",7710183778,"Вложения в ценные бумаги",
"SBBY",7710183778,"Вложения в ценные бумаги",
"SBCB",7710183778,"Вложения в ценные бумаги",
"SBCN",7710183778,"Вложения в ценные бумаги",
"SBCS",7710183778,"Вложения в ценные бумаги",
"SBDS",7710183778,"Вложения в ценные бумаги",
"SBER",7707083893,"кредитная организация","Финансы"
"SBERP",7707083893,"кредитная организация","Финансы"
"SBGB",7710183778,"Вложения в ценные бумаги",
"SBGD",7710183778,"Вложения в ценные бумаги",
"SBHI",7710183778,"Вложения в ценные бумаги",
"SBMM",7710183778,"Вложения в ценные бумаги",
"SBMX",7710183778,"Вложения в ценные бумаги",
"SBOG",7710183778,"Вложения в ценные бумаги",
"SBPS",7710183778,"Вложения в ценные бумаги",
"SBRB",7710183778,"Вложения в ценные бумаги",
"SBRI",7710183778,"Вложения в ценные бумаги",
"SBRS",7710183778,"Вложения в ценные бумаги",
"SBSC",7710183778,"Вложения в ценные бумаги",
"SBSP",7710183778,"Вложения в ценные бумаги",
"SBWS",7710183778,"Вложения в ценные бумаги",
"SCFT",7709324907,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",
"SCIP",7709324907,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",
"SELG",1402047184,"Добыча руд и песков драгоценных металлов (золота, серебра и металлов платиновой группы)","Металлы и добыча"
"SFIN",6164077483,"Прочее денежное посредничество","Финансы"
"SGZH",9703024202,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",
"SIBN",5504036333,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",
"SLEN",6500000024,"энергетика",
"SMLT",9731004688,"Консультирование по вопросам коммерческой деятельности и управления","Строительные"
"SNGS",8602060555,"Добыча сырой нефти","Нефтегаз"
"SNGSP",8602060555,"Добыча сырой нефти","Нефтегаз"
"SOFL",7736227885,"Торговля оптовая неспециализированная",
"SPBC",7707583543,"Вложения в ценные бумаги и деятельность дилерская",
"SPBE",7801268965,"Деятельность по организации торговли на финансовых рынках","Финансы"
"SPBF",7707583543,"Вложения в ценные бумаги и деятельность дилерская",
"STSB",2626033550,"энергетика",
"STSBP",2626033550,"энергетика",
"SUGB",7710186602,"Деятельность по управлению ценными бумагами",
"SVAV",3528079131,"Деятельность по управлению холдинг-компаниями","Потребсектор"
"SVET",7814693830,"Деятельность, связанная с использованием вычислительной техники и информационных технологий, прочая",
"TASB",6829010210,"Распределение электроэнергии",
"TASBP",6829010210,"Распределение электроэнергии",
"TATN",1644003838,"нефтегазовая промышленность","Нефтегаз"
"TATNP",1644003838,"нефтегазовая промышленность","Нефтегаз"
"TCSG",,,"Финансы"
"TGKA",7841312071,"Производство электроэнергии","Электроэнергетика"
"TGKB",7606053324,"Производство пара и горячей воды (тепловой энергии) котельными","Электроэнергетика"
"TGKBP",7606053324,"Производство пара и горячей воды (тепловой энергии) котельными",
"TGKN",7534018889,"Производство электроэнергии тепловыми электростанциями, в том числе деятельность по обеспечению работоспособности электростанций",
"TNSE",7705541227,"Прочая оптовая торговля",
"TORS",7017114672,"энергетика",
"TORSP",7017114672,"энергетика",
"TRMK",7710373095,"Деятельность холдинговых компаний",
"TRNFP",7706061801,"Транспортирование по трубопроводам нефти и нефтепродуктов","Нефтегаз"
"TTLK",1681000024,"телекоммуникации","Телекоммуникации"
"TUZA",269008334,"машиностроение и металлообработка",
"UGLD",7424024375,"горнодобывающая промышленность",
"UKUZ",4214000608,"горнодобывающая промышленность",
"UNAC",7708619320,"прочие отрасли",
"UNKL",5613000143,"металлургия",
"UPRO",8602067092,"энергетика","Электроэнергетика"
"URKZ",7420000133,"металлообработка",
"US78307AAE38",7710168360,"орган власти РФ",
"US78307ACZ49",7710168360,"орган власти РФ",
"USBN",274062111,"кредитная организация",
"UTAR",7204002873,"транспорт",
"UWGN",7705522866,"Консультирование по вопросам коммерческой деятельности и управления",
"VGSB",3445071523,"энергетика",
"VGSBP",3445071523,"энергетика",
"VJGZ",8609000160,"нефтегазовая промышленность",
"VJGZP",8609000160,"нефтегазовая промышленность",
"VKCO",3900015862,"Деятельность холдинговых компаний","ИТ"
"VLHZ",3302000669,"химическая промышленность",
"VRSB",3663050467,"Деятельность агентов по оптовой торговле электроэнергией и тепловой энергией (без",
"VRSBP",3663050467,"Деятельность агентов по оптовой торговле электроэнергией и тепловой энергией (без",
"VSMO",6607000556,"металлургия","Металлы и добыча"
"VSYD",4704012874,"судостроительная промышленность",
"VSYDP",4704012874,"судостроительная промышленность",
"VTBR",7702070139,"кредитная организация","Финансы"
"WTCM",7703034574,"торговля",
"WTCMP",7703034574,"торговля",
"WUSH",9703103060,"Деятельность по управлению холдинг-компаниями","Потребсектор"
"XS0088543193",7710168360,"орган власти РФ",
"XS0114288789",7710168360,"орган власти РФ",
"XS0767473852",7710168360,"орган власти РФ",
"XS0971721963",7710168360,"орган власти РФ",
"YAKG",1435032049,"нефтегазовая промышленность",
"YKEN",1435028701,"Производство электроэнергии тепловыми электростанциями",
"YKENP",1435028701,"Производство электроэнергии тепловыми электростанциями",
"YNDX",,"Деятельность холдинговых компаний","ИТ"
"YRSB",7606052264,"Распределение электроэнергии",
"YRSBP",7606052264,"Распределение электроэнергии",
"YUAN",7705136973,"Деятельность по управлению фондами",
"ZILL",7725043886,"машиностроение и металлообработка",
"ZVEZ",7811038760,"машиностроение и металлообработка",
